Institute ID,Name,City,State,Score,TLR,RPC,GO,OI,PERCEPTION,Year,Year_rank
IR-M-U-0473,SRM Institute of Science and Technology,Chennai,Tamil Nadu,40.05,62.8,6.56,65.05,52.3,9.97,2019,73
IR-M-C-32873,Lal Bahadur Shastri Institute of Management,Delhi,Delhi,39.91,68.64,3.58,55.31,66.56,5.28,2019,74
IR-M-U-0373,Chitkara University,Rajpura,Punjab,39.2,56.05,4.31,67.89,69.42,5.83,2019,75
IR-1-M-M-S-8890,Indian Institute of Management Ahmedabad,Ahmedabad,Gujarat,79.18,90.82,53.89,97.25,63.26,99.87,2018,1
IR-1-M-M-S-8903,Indian Institute of Management Bangalore,Bengaluru,Karnataka,77.33,84.71,51.19,97.95,69.65,100.0,2018,2
IR-1-M-M-S-8972,Indian Institute of Management Calcutta,Kolkata,West Bengal,77.08,90.68,53.26,96.41,66.63,79.46,2018,3
IR-1-M-M-S-8959,Indian Institute of Management Lucknow,Lucknow,Uttar Pradesh,68.63,83.98,39.15,94.76,60.51,67.01,2018,4
IR-3-M-OEM-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,66.8,66.85,71.74,88.54,45.91,29.19,2018,5
IR-1-M-M-S-8909,Indian Institute of Management Kozhikode,Kozhikode,Kerala,65.21,81.02,33.89,94.61,51.18,66.86,2018,6
IR-5-M-OEMAL-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,63.36,59.83,75.11,76.82,55.96,19.19,2018,7
IR-3-M-OEM-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,63.31,57.83,80.25,63.8,61.98,29.19,2018,8
IR-4-M-OEMA-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,62.95,54.66,79.72,79.52,50.94,16.38,2018,9
IR-1-M-M-S-132,Xavier Labour Relations Institute,Jamshedpur,Jharkhand,62.66,86.06,27.07,95.61,54.57,41.44,2018,10
IR-1-M-M-S-8918,Indian Institute of Management Indore,Indore,Madhya Pradesh,60.28,68.97,33.51,93.61,59.3,48.94,2018,11
IR-1-M-M-I-1170,Management Development Institute,Gurgaon,Haryana,59.59,77.67,30.32,94.8,60.08,22.24,2018,12
IR-2-M-OM-S-8942,Indian Institute of Management Udaipur,Udaipur,Rajasthan,59.07,80.24,29.85,86.46,68.86,18.73,2018,13
IR-3-M-OEM-S-8931,National Institute of Industrial Engineering,Mumbai,Maharashtra,57.02,75.28,35.32,86.26,55.66,10.13,2018,14
IR-1-M-M-S-8948,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,55.85,75.65,13.34,87.85,57.79,58.06,2018,15
